Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,PlayerId
Nate Pearson,SP,TOR,9,1,24.7805555,,Rise,70 / 70,65 / 70,45 / 45,40 / 55,45 / 50,2350,2600,95-100,102,60,20160
Luis Patiño,SP,TBR,11,3,21.5972222,,Rise,65 / 65,55 / 60,,45 / 55,40 / 60,2500,2500,93-97,99,60,22815
Ian Anderson,SP,ATL,12,2,23.0805555,,Rise,55 / 60,,50 / 55,70 / 70,55 / 60,2150,1700,91-95,97,60,19951
Matt Manning,SP,DET,19,2,23.3416666,,Rise,60 / 60,,60 / 60,50 / 55,45 / 55,2100,2300,93-96,98,60,20369
Tarik Skubal,SP,DET,22,4,24.5305555,4/20/16,Rise,70 / 70,60 / 60,45 / 45,45 / 50,35 / 45,2400,2250,93-96,97,60,22267
Asa Lacy,SP,KCR,24,2,21.9972222,,Rise,60 / 70,60 / 70,55 / 60,45 / 50,30 / 45,2200,2400,93-96,98,55,sa3014423
Max Meyer,SP,MIA,25,1,22.2194444,,Sink/Tail,60 / 70,65 / 70,,45 / 55,30 / 45,,,94-98,101,55,27474
Josiah Gray,SP,LAD,27,1,23.4444444,,Rise/Tail,55 / 55,50 / 55,,50 / 55,50 / 60,2300,2400,92-95,96,55,24580
Grayson Rodriguez,SP,BAL,28,2,21.5416666,,Tail,60 / 60,50 / 55,55 / 55,55 / 60,40 / 50,2400,2650,90-95,97,55,24492
Casey Mize,SP,DET,30,5,24.0833333,,Tail,55 / 55,60 / 60,,,55 / 60,2250,2500,92-95,97,55,20492
Michael Kopech,SP,CHW,31,2,25.0861111,9/18/18,Rise,70 / 70,55 / 60,50 / 55,40 / 45,40 / 45,2550,2600,94-98,101,55,17282
DL Hall,MIRP,BAL,32,3,22.7,,Tail,60 / 60,,55 / 60,55 / 60,30 / 40,2400,2500,93-96,98,55,22207
MacKenzie Gore,SP,SDP,33,3,22.2694444,,Rise,60 / 60,50 / 55,50 / 50,50 / 60,40 / 55,2150,2000,91-95,97,55,22201
Logan Gilbert,SP,SEA,35,3,24.0722222,,Rise,55 / 55,50 / 50,50 / 50,45 / 55,50 / 60,2250,2550,91-94,96,55,22250
Sixto Sánchez,SP,MIA,39,2,22.8388888,,Tail,60 / 60,50 / 50,,60 / 70,50 / 55,2100,2400,95-99,101,55,19680
Hunter Greene,SP,CIN,52,2,21.8194444,4/9/19,Tail,60 / 65,50 / 55,,45 / 55,35 / 60,2300,2325,95-98,103,50,22182
Emerson Hancock,SP,SEA,53,5,22.0027777,,Tail,50 / 55,55 / 60,45 / 50,55 / 60,35 / 55,,,93-96,97,50,27470
Spencer Howard,SP,PHI,56,1,24.8416666,,Rise,55 / 55,50 / 55,55 / 55,60 / 60,40 / 45,2350,2400,93-97,98,50,23252
Quinn Priester,SP,PIT,57,2,20.7111111,,Rise,55 / 60,,70 / 80,40 / 50,30 / 45,2150,2500,94-97,99,50,25977
Triston McKenzie,SP,CLE,58,1,23.8305555,,Rise,50 / 50,45 / 50,55 / 55,45 / 50,50 / 60,2350,2200,90-95,97,50,18000
Deivi García,SP,NYY,60,2,22.0333333,,Rise,50 / 50,45 / 50,60 / 60,55 / 60,50 / 55,2200,2700,91-95,97,50,20276
Alek Manoah,SP,TOR,62,3,23.3944444,,Rise,60 / 60,60 / 70,,40 / 50,35 / 50,2350,2350,94-97,98,50,26410
Daniel Lynch IV,SP,KCR,63,3,24.5388888,,Tail,60 / 60,50 / 55,50 / 50,45 / 55,40 / 50,2350,2250,91-95,97,50,21537
Edward Cabrera,SP,MIA,65,4,23.1333333,,Tail,60 / 60,50 / 60,,45 / 55,45 / 50,2250,2300,93-97,99,50,21690
Simeon Woods Richardson,SP,TOR,76,5,20.6777777,,Cut/Rise,50 / 55,,50 / 50,55 / 60,40 / 55,2300,2350,90-94,97,50,24494
Garrett Crochet,SIRP,CHW,77,4,21.9444444,,Rise,80 / 80,65 / 70,,30 / 40,30 / 40,2500,2400,99-101,102,50,27463
George Kirby,SP,SEA,79,6,23.3138888,,Rise,60 / 60,40 / 45,50 / 50,45 / 50,55 / 70,2150,2300,95-99,100,50,25436
Nick Lodolo,SP,CIN,83,4,23.3222222,,Tail,45 / 50,,55 / 55,50 / 55,45 / 55,2250,2400,91-94,96,50,26378
Jordan Balazovic,SP,MIN,85,5,22.7055555,,Rise,55 / 55,50 / 55,55 / 55,40 / 45,45 / 55,2150,2200,91-94,96,50,21866
Jhoan Duran,SP,MIN,86,6,23.3972222,,Sink,60 / 60,,50 / 55,45 / 50,40 / 45,1800,2700,95-99,101,50,21029
